"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","STINT","TOT","PC_PA","A","2009",1.213653,
"GBR","STINT","TOT","PC_PA","A","2010",0.6997741,
"GBR","STINT","TOT","PC_PA","A","2011",0.87458,
"GBR","STINT","TOT","PC_PA","A","2012",0.8272508,
"GBR","STINT","TOT","PC_PA","A","2013",0.5126609,
"GBR","STINT","TOT","PC_PA","A","2014",0.5429491,
"GBR","STINT","TOT","PC_PA","A","2015",0.5741492,
"GBR","STINT","TOT","PC_PA","A","2016",0.4989917,
"GBR","STINT","TOT","PC_PA","A","2017",0.3589517,
"GBR","STINT","TOT","PC_PA","A","2018",0.7228358,
"GBR","STINT","TOT","PC_PA","A","2019",0.80785,
"GBR","STINT","TOT","PC_PA","A","2020",0.295,
"GBR","STINT","TOT","PC_PA","A","2021",0.09,
"ZAF","STINT","TOT","PC_PA","A","1981",9.723333,
"ZAF","STINT","TOT","PC_PA","A","1982",15.58,
"ZAF","STINT","TOT","PC_PA","A","1983",13.39083,
"ZAF","STINT","TOT","PC_PA","A","1984",19.30667,
"ZAF","STINT","TOT","PC_PA","A","1985",17.72083,
"ZAF","STINT","TOT","PC_PA","A","1986",10.5175,
"ZAF","STINT","TOT","PC_PA","A","1987",8.785,
"ZAF","STINT","TOT","PC_PA","A","1988",12.2425,
"ZAF","STINT","TOT","PC_PA","A","1989",16.93417,
"ZAF","STINT","TOT","PC_PA","A","1990",17.80583,
"ZAF","STINT","TOT","PC_PA","A","1991",16.68917,
"ZAF","STINT","TOT","PC_PA","A","1992",13.77083,
"ZAF","STINT","TOT","PC_PA","A","1993",11.32167,
"ZAF","STINT","TOT","PC_PA","A","1994",10.92167,
"ZAF","STINT","TOT","PC_PA","A","1995",13.52833,
"ZAF","STINT","TOT","PC_PA","A","1996",15.03667,
"ZAF","STINT","TOT","PC_PA","A","1997",15.2575,
"ZAF","STINT","TOT","PC_PA","A","1998",16.53417,
"ZAF","STINT","TOT","PC_PA","A","1999",12.85083,
"ZAF","STINT","TOT","PC_PA","A","2000",10.11,
"ZAF","STINT","TOT","PC_PA","A","2001",9.676666,
"ZAF","STINT","TOT","PC_PA","A","2002",11.1625,
"ZAF","STINT","TOT","PC_PA","A","2003",10.665,
"ZAF","STINT","TOT","PC_PA","A","2004",7.5325,
"ZAF","STINT","TOT","PC_PA","A","2005",6.905,
"ZAF","STINT","TOT","PC_PA","A","2006",7.339167,
"ZAF","STINT","TOT","PC_PA","A","2007",9.115,
"ZAF","STINT","TOT","PC_PA","A","2008",10.87417,
"ZAF","STINT","TOT","PC_PA","A","2009",7.849785,
"ZAF","STINT","TOT","PC_PA","A","2010",6.42,
"ZAF","STINT","TOT","PC_PA","A","2011",5.486667,
"ZAF","STINT","TOT","PC_PA","A","2012",5.2875,
"ZAF","STINT","TOT","PC_PA","A","2013",5.0775,
"ZAF","STINT","TOT","PC_PA","A","2014",5.799167,
"ZAF","STINT","TOT","PC_PA","A","2015",6.051667,
"ZAF","STINT","TOT","PC_PA","A","2016",7.2275,
"ZAF","STINT","TOT","PC_PA","A","2017",7.330833,
"ZAF","STINT","TOT","PC_PA","A","2018",7.154167,
"ZAF","STINT","TOT","PC_PA","A","2019",7.084167,
"ZAF","STINT","TOT","PC_PA","A","2020",4.5475,
"ZAF","STINT","TOT","PC_PA","A","2021",3.925833,
"KOR","STINT","TOT","PC_PA","A","1991",18.30083,
"KOR","STINT","TOT","PC_PA","A","1992",16.4125,
"KOR","STINT","TOT","PC_PA","A","1993",12.96167,
"KOR","STINT","TOT","PC_PA","A","1994",13.2875,
"KOR","STINT","TOT","PC_PA","A","1995",14.05417,
"KOR","STINT","TOT","PC_PA","A","1996",12.63417,
"KOR","STINT","TOT","PC_PA","A","1997",13.38167,
"KOR","STINT","TOT","PC_PA","A","1998",15.22,
"KOR","STINT","TOT","PC_PA","A","1999",6.809166,
"KOR","STINT","TOT","PC_PA","A","2000",7.078333,
"KOR","STINT","TOT","PC_PA","A","2001",5.3175,
"KOR","STINT","TOT","PC_PA","A","2002",4.805,
"KOR","STINT","TOT","PC_PA","A","2003",4.305833,
"KOR","STINT","TOT","PC_PA","A","2004",3.7875,
"KOR","STINT","TOT","PC_PA","A","2005",3.649167,
"KOR","STINT","TOT","PC_PA","A","2006",4.475833,
"KOR","STINT","TOT","PC_PA","A","2007",5.160833,
"KOR","STINT","TOT","PC_PA","A","2008",5.4875,
"KOR","STINT","TOT","PC_PA","A","2009",2.628333,
"KOR","STINT","TOT","PC_PA","A","2010",2.671667,
"KOR","STINT","TOT","PC_PA","A","2011",3.4375,
"KOR","STINT","TOT","PC_PA","A","2012",3.2975,
"KOR","STINT","TOT","PC_PA","A","2013",2.7225,
"KOR","STINT","TOT","PC_PA","A","2014",2.491417,
"KOR","STINT","TOT","PC_PA","A","2015",1.77,
"KOR","STINT","TOT","PC_PA","A","2016",1.493333,
"KOR","STINT","TOT","PC_PA","A","2017",1.443333,
"KOR","STINT","TOT","PC_PA","A","2018",1.68,
"KOR","STINT","TOT","PC_PA","A","2019",1.696667,
"KOR","STINT","TOT","PC_PA","A","2020",0.9233333,
"KOR","STINT","TOT","PC_PA","A","2021",0.85,
"MEX","STINT","TOT","PC_PA","A","1997",22.29417,
"MEX","STINT","TOT","PC_PA","A","1998",27.14167,
"MEX","STINT","TOT","PC_PA","A","1999",24.62667,
"MEX","STINT","TOT","PC_PA","A","2000",17.23167,
"MEX","STINT","TOT","PC_PA","A","2001",13.42667,
"MEX","STINT","TOT","PC_PA","A","2002",8.45,
"MEX","STINT","TOT","PC_PA","A","2003",7.164166,
"MEX","STINT","TOT","PC_PA","A","2004",7.4425,
